drill_id,frame_num,coach_acc,student_acc,pose_sim,ball1,ball2,clip_label,clip_sim
Drill 101,243,76.47,35.29,2.2354672645224434,"(337, 381)","(541, 303)",dribbling vs dribbling,0.714
Drill 101,244,94.12,47.06,2.252918394246165,"(329, 404)","(536, 302)",dribbling vs dribbling,0.723
Drill 101,245,58.82,52.94,1.9837246129126753,"(194, 268)","(536, 305)",kicking vs dribbling,0.726
Drill 101,246,82.35,11.76,2.3797347870075303,"(322, 380)","(279, 316)",dribbling vs kicking,0.725
Drill 101,247,82.35,0.0,2.6532665257473607,"(202, 399)","(591, 370)",dribbling vs kicking,0.761
Drill 101,248,88.24,35.29,2.5983379205125194,"(163, 410)","(532, 313)",dribbling vs kicking,0.796
Drill 101,249,82.35,17.65,2.934700004129265,"(308, 401)","(311, 322)",kicking vs kicking,0.736
Drill 101,250,94.12,11.76,2.8875824670218213,"(52, 151)","(308, 321)",dribbling vs kicking,0.758
Drill 101,251,88.24,23.53,2.7464108133532945,"(352, 453)","(311, 305)",dribbling vs kicking,0.769
Drill 101,252,88.24,11.76,2.74173955299646,"(350, 441)","(299, 314)",dribbling vs kicking,0.791
Drill 101,253,52.94,11.76,2.9739781634211218,"(355, 425)","(295, 309)",dribbling vs kicking,0.847
Drill 101,254,64.71,11.76,2.882044340293501,"(345, 409)","(773, 227)",kicking vs kicking,0.802
Drill 101,255,52.94,29.41,2.74071086103409,"(335, 404)","(531, 316)",kicking vs kicking,0.817
Drill 101,256,52.94,35.29,2.7609082857188363,"(313, 427)","(268, 292)",kicking vs kicking,0.795
Drill 101,257,29.41,41.18,2.45936480679301,"(44, 377)","(541, 301)",kicking vs kicking,0.766
Drill 101,258,17.65,29.41,2.2538873604271035,"(230, 448)","(541, 281)",kicking vs kicking,0.759
Drill 101,259,0.0,41.18,2.555517605183886,None,"(539, 273)",kicking vs kicking,0.734
Drill 101,260,0.0,47.06,2.7522541039216724,None,"(332, 284)",kicking vs dribbling,0.701
Drill 101,261,5.88,58.82,1.41977494905471,None,"(545, 257)",kicking vs dribbling,0.732
Drill 101,262,0.0,58.82,1.9430301875048719,None,"(545, 254)",dribbling vs dribbling,0.712
Drill 101,263,0.0,70.59,1.848130169683198,None,"(357, 275)",dribbling vs dribbling,0.739
Drill 101,264,0.0,64.71,1.581103910341098,None,"(550, 244)",dribbling vs dribbling,0.703
Drill 101,265,11.76,29.41,1.5000867098922768,None,"(724, 214)",dribbling vs dribbling,0.7
Drill 101,266,0.0,41.18,1.651995002292486,None,"(385, 280)",dribbling vs dribbling,0.703
Drill 101,267,5.88,52.94,1.5135074670250994,None,"(553, 328)",dribbling vs dribbling,0.732
Drill 101,268,11.76,70.59,1.4190825059192897,"(405, 351)","(557, 319)",dribbling vs dribbling,0.69
Drill 101,269,0.0,52.94,1.7061205555307606,None,"(561, 232)",dribbling vs dribbling,0.674
Drill 101,270,23.53,76.47,1.7514423877636993,None,"(563, 226)",kicking vs kicking,0.779
Drill 101,271,5.88,11.76,1.679760328334295,None,"(551, 250)",kicking vs kicking,0.744
Drill 101,272,29.41,41.18,1.1757300428214172,None,"(705, 235)",kicking vs dribbling,0.789
Drill 101,273,17.65,17.65,1.5639198289916991,None,"(235, 85)",dribbling vs kicking,0.742
Drill 101,274,0.0,41.18,2.420043854547832,None,"(578, 215)",kicking vs kicking,0.773
Drill 101,275,0.0,58.82,1.4851349464129626,None,"(589, 203)",kicking vs kicking,0.755
Drill 101,276,11.76,29.41,1.474452874137933,None,"(593, 187)",kicking vs kicking,0.747
